name,address,phone_number,website,email,category,zip_code
The Phillips Corp,"49 East McLeod Avenue, Eagle Lake, FL 33839",(844) 217-2886,https://thephillipscorp.com/,N/A,Construction Companies,33527
Brandon Sheds Inc.,"1325 W Brandon Blvd, Brandon, FL 33511",(844) 681-4679,http://www.brandonshedsinc.com/,N/A,Construction Companies,33527
MBC Construction,"3514 Wilders Pond Way
Plant City, FL 33565",(813) 754-6655,N/A,N/A,Construction Companies,33527
Custom Renovations,"4503 Hillman Ln
Lakeland, FL 33813",(863) 712-8160,N/A,N/A,Construction Companies,33527
Wytek Construction,"1924 Raven Manor Dr
Dover, FL 33527",(813) 655-3555,N/A,N/A,Construction Companies,33527
Hurlburt Construction,"13350 Lewis Gallagher Rd
Dover, FL 33527",(813) 659-2758,N/A,N/A,Construction Companies,33527
Gladiator Contractoring,"13301 Jaudon Ranch Rd
Dover, FL 33527",(813) 643-1811,https://gladiatorcontracting.com,N/A,Construction Companies,33527
J M Stare C D & P Inc,"13860 E Us Highway 92
Dover, FL 33527",(813) 659-0624,N/A,N/A,Construction Companies,33527
Case Contracting Company,"2311 Turkey Creek Rd
Plant City, FL 33566",(813) 754-3477,https://www.casecontracting.com/contact-8,N/A,Construction Companies,33527
M Gordon Construction Co,"1167 Emerald Hill Way
Valrico, FL 33594",(908) 357-2434,N/A,N/A,Construction Companies,33527
Sunrise Homes Inc,"9489 Gallagher Rd
Dover, FL 33527",(813) 986-3044,N/A,N/A,Construction Companies,33527
Don Stine Construction,"2509 Turkey Creek Rd
Plant City, FL 33566",(813) 752-9119,https://www.stineconstructioninc.com,N/A,Construction Companies,33527
Hall & Pope Builders,"3113 Fritzke Rd
Dover, FL 33527",(813) 986-7450,N/A,N/A,Construction Companies,33527
Ruiz Paver\'s Inc.,"229 Marge Owens Rd
Dover, FL 33527",(813) 967-2092,N/A,N/A,Construction Companies,33527
Target Construction Svc,"2718 Durant Trails Blvd
Dover, FL 33527",(813) 892-1557,N/A,N/A,Construction Companies,33527
Morton Builders Inc,"Dover, FL 33527",(813) 689-3126,N/A,N/A,Construction Companies,33527
Advance Aluminum and Screen Inc.,"14026 Downing St
Dover, FL 33527",(813) 278-6197,http://www.advancealuminumfl.com,N/A,Construction Companies,33527
Vanek Construction,"3414 Mott Rd
Dover, FL 33527",(813) 759-8850,N/A,N/A,Construction Companies,33527
Ra Gonzalez Construction,"13106 Done Groven Dr
Dover, FL 33527",(813) 468-1153,N/A,N/A,Construction Companies,33527
"On Point Construction Services, Inc","3906 Mcintosh Rd
Dover, FL 33527",(813) 323-7842,https://itsonpointconstruction.com,N/A,Construction Companies,33527
Cothron Contracting LLC,"1722 E Dr Martin Luther King Jr Blvd
Seffner, FL 33584",(813) 448-1617,N/A,N/A,Construction Companies,33527
Hosmer Eric Contractor,"6405 Stafford Terrace Ave
Plant City, FL 33565",(813) 986-1980,http://hosmer.us,N/A,Construction Companies,33527
Walden Lake Construction P,"5655 Wo Griffin Rd
Plant City, FL 33567",(813) 205-7075,https://www.waldenlakeconstruction.com/index.html,N/A,Construction Companies,33527
MNM Construction,"705 Jerry Smith Rd
Dover, FL 33527",(813) 441-4397,N/A,N/A,Construction Companies,33527
Chapman Contracting,"2205 Colewood Ln
Dover, FL 33527",(813) 643-2336,N/A,N/A,Construction Companies,33527
D9 Construction,"6115 Durant Rd
Dover, FL 33527",(813) 651-0608,https://www.d9construction.com/contact-us,N/A,Construction Companies,33527
Steve Lynch Construction,Serving the33527 Area,(813) 716-2828,N/A,N/A,Construction Companies,33527
JF\'s Construction Inc,"1406 S Parsons Ave
Seffner, FL 33584",(813) 655-4689,N/A,N/A,Construction Companies,33527
Horus Construction Services Inc,"Tampa, FL 33607",(813) 288-0294,N/A,N/A,Construction Companies,33527
McCullagh & Scott Inc,"Tampa, FL 33613",(813) 622-7497,N/A,N/A,Construction Companies,33527
Air Masters of Tampa Bay,Serving the33527 Area,(813) 279-6492,http://www.airmasters.net,N/A,Construction Companies,33527
Anita\'s Sewer & Septic,Serving the33527 Area,(813) 653-0181,N/A,N/A,Construction Companies,33527
Industrial Electric Testing Inc,Serving the33527 Area,(904) 479-5096,http://www.industrialelectrictesting.com,N/A,Construction Companies,33527
Keane Acoustics Inc.,Serving the33527 Area,(727) 644-3445,http://www.keaneacoustics.com,N/A,Construction Companies,33527
Certified Foundations Inc.,"Dunnellon, FL 34434",(352) 489-7276,http://www.cfi-1.com,N/A,Construction Companies,33527
Steven Martinez Construction INC and Stuc co.,"Gibsonton, FL 33534",(813) 220-4314,N/A,N/A,Construction Companies,33527
Skyline Construction & Home Improvement Services,"Tampa, FL 33624",(813) 770-7958,http://skylinetampa.com,N/A,Construction Companies,33527
Rhino General Contracting Inc,Serving the33527 Area,(656) 230-0789,https://rhinogeneralcontractinginc.com,N/A,Construction Companies,33527
Dynamic Home Repairs,"205 Glendale Dr
Brandon, FL 33511",(813) 689-9333,https://dynamicpaintingusa.com/contact-us,N/A,Construction Companies,33527
Cook Construction Co Inc,"4206 National Guard Dr
Plant City, FL 33563",(813) 719-1203,http://cookcc.com,N/A,Construction Companies,33527
Millennium One Construction,"110 N Mulrennan Rd
Valrico, FL 33594",(813) 655-0804,N/A,N/A,Construction Companies,33527
Armstrong Construction Services,"1005 Winchester Ln
Valrico, FL 33594",(813) 655-8934,https://www.armstrongconstructionservicesinc.com/Contacts,N/A,Construction Companies,33527
Vm Home Solutions,"1310 Gangplank Dr
Valrico, FL 33594",(813) 533-3743,N/A,N/A,Construction Companies,33527
Bay Area Constructors Inc,"2507 Pemberton Creek Dr
Seffner, FL 33584",(813) 685-8979,http://bayareaconstructors.com,N/A,Construction Companies,33527
JFS Construction,"2702 Airport Rd
Plant City, FL 33563",(813) 704-5519,http://jfsconstructionfl.com,N/A,Construction Companies,33527
D & F Construction,"2404 Airport Rd
Plant City, FL 33563",(813) 752-2422,N/A,N/A,Construction Companies,33527
